Mes,Código Material,Venta Neta Kilos
2020-01,1007309,800.0
2020-01,1007310,140.0
2020-01,1008505,1480.0
2020-01,1010520,588.0
2020-01,1010975,240.0
2020-01,1010976,780.0
2020-01,1012304,520.0
2020-01,1012308,40.0
2020-01,1015575,75.0
2020-01,1015578,210.0
2020-01,1016231,2000.0
2020-01,1018434,1180.0
2020-01,1018660,0.0
2020-01,1018661,25.0
2020-01,1018662,150.0
2020-01,1025298,50.0
2020-01,1025986,0.0
2020-01,1026978,0.0
2020-01,1030868,5088.0
2020-01,1030869,4824.0
2020-01,1030870,1728.0
2020-01,1030871,744.0
2020-01,1031806,156.0
2020-01,1032665,0.0
2020-01,1032673,18.0
2020-01,1032719,3.0
2020-01,1041591,40.0
2020-01,1041779,40.0
2020-01,1041780,0.0
2020-01,1041782,0.0
2020-01,1041787,0.0
2020-01,1041789,0.0
2020-01,1041791,0.0
2020-01,1041795,0.0
2020-01,1041807,0.0
2020-01,3001601,18000.0
2020-01,3001603,10000.0
2020-01,3002507,5000.0
2020-01,3002511,120.0
2020-01,3014380,2000.0
2020-01,3017624,12600.0
2020-01,3018803,1440.0
2020-01,3019451,8487.0
2020-01,3019452,53453.0
2020-01,1003831,225.0
2020-01,1003856,60.0
2020-01,1003861,0.0
2020-01,1003863,440.0
2020-01,1003865,20.0
2020-01,1003866,60.0
2020-01,1003870,0.0
2020-01,1003874,0.0
2020-01,1003875,337.5
2020-01,1003883,40.0
2020-01,1003915,36.8
2020-01,1003916,0.0
2020-01,1003930,12.0
2020-01,1003934,0.0
2020-01,1004126,10.0
2020-01,1004132,0.0
2020-01,1004134,40.0
2020-01,1004135,0.0
2020-01,1004137,0.0
2020-01,1004139,0.0
2020-01,1004146,30.0
2020-01,1004147,40.0
2020-01,1004150,0.0
2020-01,1004157,25.0
2020-01,1004158,40.0
2020-01,1004159,130.0
2020-01,1007307,3.0
2020-01,1007308,16.0
2020-01,1007309,0.0
2020-01,1007310,0.0
2020-01,1008505,880.0
2020-01,1010520,12.0
2020-01,1010975,300.0
2020-01,1010976,500.0
2020-01,1012304,570.0
2020-01,1015575,0.0
2020-01,1015578,0.0
2020-01,1016231,4000.0
2020-01,1017862,240.0
2020-01,1018434,100.0
2020-01,1018660,0.0
2020-01,1018661,0.0
2020-01,1018662,0.0
2020-01,1025298,25.0
2020-01,1025986,0.0
2020-01,1026978,0.0
2020-01,1030868,-3000.0
2020-01,1030869,11232.0
2020-01,1030870,432.0
2020-01,1030871,48.0
2020-01,1031806,132.0
2020-01,1032664,2.6
2020-01,1032665,2.6
2020-01,1032673,0.0
2020-01,1032719,0.0
2020-01,1034395,0.0
2020-01,1041591,120.0
2020-01,1041779,125.0
2020-01,1041780,0.0
2020-01,1041789,3.0
2020-01,1041807,0.0
2020-01,1042914,0.0
2020-01,3001601,11250.0
2020-01,3001603,600.0
2020-01,3002507,2500.0
2020-01,3010861,3.0
2020-01,3014380,300.0
2020-01,3017353,400.0
2020-01,3017624,12300.0
2020-01,3018803,240.0
2020-01,3019452,40907.0
2020-02,1003856,20.0
2020-02,1003866,160.0
2020-02,1003883,60.0
2020-02,1003934,0.0
2020-02,1004126,60.0
2020-02,1004135,0.0
2020-02,1004147,80.0
2020-02,1004157,100.0
2020-02,1007270,0.0
2020-02,1007307,2.0
2020-02,1007310,0.0
2020-02,1008505,300.0
2020-02,1010975,60.0
2020-02,1010976,60.0
2020-02,1012308,40.0
2020-02,1015578,300.0
2020-02,1030868,240.0
2020-02,1030871,72.0
2020-02,1032719,0.0
2020-02,1041591,20.0
2020-02,1041779,40.0
2020-02,1003831,100.0
2020-02,1003856,80.0
2020-02,1003863,780.0
